Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type E,V-872,2018-08-25,6645,96.62,10,1,Sensors,Assam,Plains,Gorkha Rifles,10,Clear Skies
Type C,V-229,2023-05-30,914,92.39,29,0,Navigation System,Jammu & Kashmir,Mountainous,Punjab Regiment,9,Extreme Cold
Type D,V-502,2017-12-11,4107,96.15,37,2,None,Sikkim,Mountainous,Assam Rifles,-2,Foggy
Type A,V-807,2015-07-21,5635,74.8,36,0,None,Sikkim,Mountainous,Punjab Regiment,-8,Snowfall
Type C,V-142,2024-08-11,3949,65.06,37,8,None,Nagaland,Jungle,Kumaon Regiment,26,Humid
Type C,V-413,2019-06-18,7817,95.51,45,3,Navigation System,Assam,Plains,Dogra Regiment,18,Clear Skies
Type E,V-349,2021-11-14,3074,82.71,22,3,None,Manipur,Jungle,Sikh Light Infantry,20,Foggy
Type B,V-970,2015-09-02,2253,97.79,41,5,None,Jammu & Kashmir,Mountainous,Assam Rifles,8,Foggy
Type B,V-797,2020-02-18,6258,86.67,6,1,Armor Plating,Punjab,Plains,Kumaon Regiment,23,Clear Skies
Type D,V-384,2024-12-25,1008,66.99,21,8,None,Jammu & Kashmir,Mountainous,Assam Rifles,10,Foggy
Type E,V-606,2015-10-18,1469,95.14,37,2,Radar,Sikkim,Mountainous,Bihar Regiment,-8,Foggy
Type A,V-664,2021-10-17,9811,94.28,12,6,None,Himachal Pradesh,Hilly,Rajput Regiment,20,Foggy
Type E,V-372,2023-12-24,8342,95.67,5,10,Armor Plating,Jammu & Kashmir,Mountainous,Bihar Regiment,9,Extreme Cold
Type A,V-288,2019-11-28,9585,92.78,38,2,None,Rajasthan,Desert,Sikh Light Infantry,45,Dust Storms
Type B,V-992,2017-07-31,4054,74.32,23,4,Armor Plating,Assam,Plains,Dogra Regiment,28,Clear Skies
Type C,V-336,2017-03-26,490,79.71,34,6,None,Himachal Pradesh,Hilly,Punjab Regiment,20,Foggy
Type C,V-581,2025-02-10,677,96.67,9,4,Transmission,Sikkim,Mountainous,Naga Regiment,-6,Snowfall
Type C,V-732,2015-09-14,1546,97.32,11,0,Gun System,Himachal Pradesh,Hilly,Sikh Light Infantry,13,Foggy
Type D,V-810,2018-02-28,7748,69.07,48,4,Wiring,Manipur,Jungle,Bihar Regiment,30,Foggy
