Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type E,G-297,2023-12-12,2831,79.16,4,2,Wiring,Rural,North Battalion,27,Cool
Type C,G-631,2022-01-25,2789,93.79,49,2,Engine,Rural,North Battalion,28,Cool
Type B,G-542,2020-02-01,2709,72.53,19,4,Armor Plating,Urban,East Battalion,31,Rainy
Type A,G-240,2019-03-25,9090,82.57,45,3,None,Rural,East Battalion,32,Cloudy
Type D,G-623,2021-08-16,5829,87.04,14,5,Radar,Semi-Urban,West Battalion,38,Dry
Type E,G-850,2021-03-29,6997,82.83,44,7,None,Semi-Urban,West Battalion,39,Dry
Type C,G-786,2019-01-19,4903,60.78,13,7,None,Rural,South Battalion,31,Humid
Type E,G-747,2018-06-10,3996,94.78,43,10,None,Rural,East Battalion,33,Cloudy
Type B,G-492,2023-11-26,6604,90.93,23,5,None,Rural,North Battalion,26,Cool
Type B,G-613,2022-08-29,1875,96.41,24,3,None,Rural,East Battalion,33,Cloudy
Type D,G-554,2016-10-20,8345,68.8,14,3,None,Urban,West Battalion,35,Hot
Type B,G-969,2022-01-18,9192,96.66,48,5,None,Urban,West Battalion,35,Hot
Type A,G-486,2022-02-07,6853,89.75,42,3,None,Rural,North-East Battalion,27,Rainy
Type A,G-951,2021-03-18,9184,63.9,15,2,None,Urban,South Battalion,34,Hot
Type E,G-907,2023-06-17,9708,60.89,47,1,None,Rural,South Battalion,33,Humid
Type C,G-471,2018-03-01,477,96.06,8,2,Sensors,Semi-Urban,West Battalion,31,Humid
Type E,G-925,2022-08-20,1252,71.1,43,2,Armor Plating,Urban,West Battalion,36,Hot
Type C,G-394,2020-08-12,5152,81.46,5,7,Transmission,Urban,North Battalion,36,Sunny
Type C,G-152,2024-07-05,1074,67.34,13,0,None,Urban,West Battalion,35,Hot
Type B,G-866,2018-07-28,505,81.29,19,0,None,Rural,East Battalion,35,Cloudy
Type D,G-487,2023-12-20,4465,94.78,16,5,None,Rural,South Battalion,31,Humid
Type B,G-667,2015-07-04,9186,80.41,1,5,None,Urban,East Battalion,32,Rainy
Type C,G-333,2021-03-10,8454,92.34,36,3,Armor Plating,Urban,East Battalion,30,Rainy
Type C,G-191,2018-11-01,3180,68.44,23,1,None,Rural,North Battalion,26,Cool
Type C,G-124,2019-06-14,7651,89.37,50,2,None,Urban,West Battalion,37,Hot
Type E,G-937,2018-04-20,993,62.47,34,3,Sensors,Urban,West Battalion,34,Hot
Type D,G-519,2020-08-07,3826,68.02,32,3,Sensors,Rural,North Battalion,30,Cool
Type E,G-558,2017-11-16,1666,65.07,36,5,None,Rural,North Battalion,29,Cool
Type A,G-382,2021-04-08,8120,79.36,50,2,Sensors,Rural,East Battalion,33,Cloudy
Type C,G-694,2021-03-24,9795,78.76,11,5,Navigation System,Rural,South Battalion,33,Humid
Type D,G-381,2019-08-22,2410,89.04,14,3,None,Urban,East Battalion,29,Rainy
Type C,G-235,2022-11-15,8486,90.7,28,3,Sensors,Rural,South Battalion,33,Humid
Type B,G-375,2017-01-14,9863,65.61,14,0,None,Rural,North-East Battalion,28,Rainy
Type C,G-732,2023-09-13,1155,72.63,20,3,Transmission,Urban,North Battalion,33,Sunny
Type A,G-501,2020-01-18,1205,96.36,44,7,Gun System,Semi-Urban,West Battalion,38,Dry
Type B,G-753,2016-05-25,9739,87.05,8,8,None,Urban,West Battalion,37,Hot
Type A,G-401,2022-02-06,3868,97.88,35,4,Navigation System,Urban,North Battalion,36,Sunny
Type A,G-666,2019-05-30,1301,79.9,7,7,None,Urban,West Battalion,36,Hot
Type D,G-778,2019-10-30,7249,89.83,21,3,Transmission,Urban,West Battalion,38,Hot
Type A,G-580,2017-11-05,1186,62.05,50,6,None,Urban,South Battalion,36,Hot
Type C,G-272,2019-05-11,8344,86.95,29,6,Armor Plating,Urban,West Battalion,35,Hot
Type D,G-390,2022-05-11,3711,88.15,50,4,Engine,Rural,North-East Battalion,26,Rainy
Type D,G-978,2019-09-06,4145,97.63,25,3,Radar,Rural,North Battalion,29,Cool
Type A,G-555,2023-04-21,7684,76.11,9,6,Brakes,Rural,North Battalion,30,Cool
Type B,G-149,2018-12-30,4638,80.17,24,4,None,Urban,East Battalion,30,Rainy
Type C,G-371,2016-10-27,4652,76.03,46,3,None,Urban,East Battalion,28,Rainy
Type A,G-135,2024-01-25,6748,93.98,26,7,Engine,Rural,South Battalion,32,Humid
Type A,G-128,2022-05-29,565,70.44,8,4,Transmission,Rural,East Battalion,33,Cloudy
Type D,G-187,2021-02-01,7916,60.35,21,4,Radar,Urban,West Battalion,36,Hot
Type E,G-147,2016-02-19,4105,91.41,9,1,None,Rural,East Battalion,32,Cloudy
Type C,G-322,2019-03-29,7919,63.73,46,1,Gun System,Urban,East Battalion,32,Rainy
Type D,G-997,2021-07-19,9042,75.71,7,1,None,Rural,South Battalion,33,Humid
Type E,G-541,2023-08-30,7564,99.43,29,8,None,Semi-Urban,West Battalion,32,Humid
Type B,G-499,2019-05-27,5923,64.09,13,4,None,Urban,West Battalion,36,Hot
Type E,G-694,2019-10-14,6934,72.84,47,6,None,Semi-Urban,West Battalion,39,Dry
Type A,G-565,2019-06-08,874,65.61,14,0,None,Rural,North-East Battalion,29,Rainy
Type A,G-428,2022-08-24,4855,72.83,22,7,Engine,Semi-Urban,West Battalion,36,Dry
Type E,G-811,2015-07-22,8685,98.64,22,1,Brakes,Urban,West Battalion,35,Hot
Type B,G-967,2019-11-26,4579,71.84,2,4,Armor Plating,Semi-Urban,West Battalion,36,Dry
Type E,G-405,2024-02-04,7440,71.95,16,5,None,Rural,East Battalion,31,Cloudy
Type E,G-606,2017-05-11,3534,70.85,38,3,Navigation System,Rural,South Battalion,33,Humid
Type E,G-974,2024-12-09,2958,97.64,6,7,None,Urban,West Battalion,36,Hot
Type C,G-747,2021-02-22,200,86.74,49,2,None,Semi-Urban,West Battalion,33,Humid
Type E,G-297,2019-03-17,2694,72.56,24,4,Armor Plating,Rural,South Battalion,31,Humid
Type D,G-234,2021-08-24,9908,63.39,21,3,Armor Plating,Urban,East Battalion,31,Rainy
Type C,G-737,2021-06-03,7750,88.25,4,4,None,Urban,North Battalion,36,Sunny
Type C,G-958,2018-02-03,8058,82.17,0,10,None,Urban,North Battalion,35,Sunny
Type B,G-711,2016-11-08,6806,60.55,6,2,Wiring,Semi-Urban,West Battalion,38,Dry
Type E,G-213,2020-11-17,5857,65.23,25,7,Transmission,Urban,North Battalion,35,Sunny
Type B,G-643,2023-08-26,4422,90.15,49,7,Sensors,Rural,East Battalion,33,Cloudy
Type C,G-189,2021-08-29,9650,72.8,14,4,None,Rural,North Battalion,28,Cool
Type C,G-701,2015-04-18,8111,79.31,3,3,None,Urban,East Battalion,32,Rainy
Type B,G-259,2020-08-22,347,74.45,35,4,Navigation System,Rural,South Battalion,31,Humid
Type C,G-604,2020-03-05,9384,66.64,34,3,None,Urban,South Battalion,34,Hot
Type D,G-640,2017-12-07,2863,90.35,22,2,Engine,Urban,North Battalion,33,Sunny
Type B,G-686,2016-03-26,7200,63.57,41,2,None,Urban,East Battalion,32,Rainy
Type C,G-734,2023-03-12,3364,93.05,28,1,None,Urban,West Battalion,38,Hot
Type B,G-671,2017-12-28,520,76.51,3,4,None,Semi-Urban,West Battalion,34,Humid
Type E,G-617,2018-09-15,4871,91.38,28,4,Brakes,Urban,South Battalion,35,Hot
Type D,G-375,2021-02-17,6377,63.54,2,5,Sensors,Rural,East Battalion,31,Cloudy
Type C,G-858,2016-02-10,3095,62.94,13,4,None,Rural,North-East Battalion,28,Rainy
Type E,G-407,2017-08-06,7755,70.21,18,5,None,Rural,North Battalion,29,Cool
Type C,G-410,2019-04-03,5114,94.09,16,1,Wiring,Rural,East Battalion,33,Cloudy
Type B,G-734,2016-09-15,9694,76.73,29,1,None,Urban,South Battalion,35,Hot
Type C,G-828,2022-02-25,7857,78.18,50,1,Engine,Semi-Urban,West Battalion,38,Dry
Type D,G-168,2022-09-30,5512,60.95,18,0,Sensors,Urban,East Battalion,29,Rainy
Type C,G-726,2017-07-21,7547,91.52,34,1,Radar,Urban,East Battalion,28,Rainy
Type E,G-468,2016-04-10,4266,62.57,44,7,None,Rural,South Battalion,33,Humid
Type D,G-657,2019-01-15,7705,90.51,32,3,Sensors,Urban,West Battalion,34,Hot
