Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type D,A-785,2015-09-21,3726,69.11,3,1,,West Bengal,North Zone,Delta Squadron,26.4,Rainy
Type E,A-532,2022-10-28,4142,93.85,23,3,,Uttar Pradesh,Central Command,Alpha Battalion,11.3,Sunny
Type C,A-905,2021-12-06,4731,69.76,29,1,Transmission,Tamil Nadu,South Zone,Bravo Battalion,14.6,Stormy
Type A,A-338,2018-11-09,8904,83.1,23,7,,Rajasthan,Central Command,Bravo Battalion,25.0,Foggy
Type D,A-474,2024-02-22,3707,87.54,25,4,Armor Plating,Kerala,West Zone,Bravo Battalion,41.0,Sunny
Type C,A-501,2020-10-01,4997,89.92,44,2,,Assam,North Zone,Charlie Battalion,25.4,Foggy
Type C,A-457,2017-06-15,8004,85.65,6,3,,Tamil Nadu,Central Command,Delta Squadron,39.5,Windy
Type A,A-337,2019-05-13,4937,82.32,15,1,,Maharashtra,West Zone,Delta Squadron,41.3,Foggy
Type D,A-862,2024-01-16,6653,63.83,50,4,,Delhi,West Zone,Delta Squadron,29.6,Foggy
Type C,A-443,2023-06-15,3704,89.66,20,1,Transmission,Punjab,West Zone,Delta Squadron,30.1,Sunny
Type D,A-947,2018-10-09,3877,80.47,18,4,,Kerala,Central Command,Bravo Battalion,31.2,Rainy
Type B,A-613,2018-07-04,1269,70.31,18,5,Sensors,Delhi,North Zone,Echo Force,44.5,Rainy
Type C,A-936,2020-09-13,2254,91.38,20,5,Transmission,Punjab,East Zone,Alpha Battalion,41.5,Stormy
Type C,A-969,2022-12-07,2989,83.67,9,5,Radar,Tamil Nadu,East Zone,Delta Squadron,17.1,Sunny
Type D,A-995,2022-08-25,6240,70.36,0,7,Gun System,Kerala,Central Command,Echo Force,20.0,Cloudy
Type A,A-339,2024-10-13,7972,81.37,21,3,,Delhi,South Zone,Bravo Battalion,20.2,Foggy
Type A,A-126,2022-10-08,190,72.81,44,8,Sensors,Rajasthan,East Zone,Bravo Battalion,10.3,Stormy
Type A,A-540,2020-07-02,7714,77.67,2,4,Radar,Delhi,East Zone,Alpha Battalion,29.7,Stormy
